contentid,title,createdtime,modifiedtime,tel,telname,homepage,firstimage,firstimage2,addr1,addr2,mapx,mapy,mlevel,overview
638241,순창장류축제,20081016002347,20250316215611,063-650-1624,순창군,"<a href=""http://www.jangfestival.co.kr"" target=""_blank"" title=""새창:순창장류축제 홈페이지로 이동"">http://www.jangfestival.co.kr</a>",http://tong.visitkorea.or.kr/cms/resource/25/3021125_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/25/3021125_image3_1.png,전북특별자치도 순창군 순창읍 민속마을길 6-3,순창고추장민속마을 및 발효테마파크 내,127.1099933429,35.3686391948,6,"*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>전북특별자치도 순창은 천혜의 자연환경과 장류문화의 역사가 살아 숨쉬는 고장으로 대한민국의 대표 먹거리 고추장의 본고장이다. 순창에서 매년 가을 한국의 전통장류를 소재로 한 순창장류축제가 열린다. 전통장류를 소재로 한 체험 프로그램과 문화공연, 전시 및 판매 등 약60여개의 다양한 프로그램들이 진행되며, 순창고추장으로 만든 매콤하고 감칠맛 넘치는 음식들을 맛볼 수 있다. '순창고추장 임금님 진상행렬' 퍼포먼스와 모두 모여 순창고추장, 된장을 만드는 체험 등 순창장류축제만의 특별하고 재미있는 프로그램들도 선보인다."
1336591,완주 와일드&로컬푸드축제,20110721182552,20250605161315,063-290-3976~8,완주군,"<a href=""http://www.wanjufestival.kr/main/"" target=""_blank"" title=""새창:완주와일드푸드축제 홈페이지로 이동"">www.wanjufestival.kr</a>",http://tong.visitkorea.or.kr/cms/resource/68/3424168_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/68/3424168_image3_1.JPG,전북특별자치도 완주군 고산면 고산휴양림로 89,완주 고산자연휴양림 일원,127.2312251680,35.9742142010,6,"완주군 대표축제인 완주와일드&로컬푸드축제는 완주의 청정자연속에서 일상에서 경험해보지 못한 WILD한 체험과 로컬푸드 1번지로서 건강한 지역(LOCAL) 먹거리(FOOD)를 만날 수 있는 남녀노소 누구나 즐길 수 있는 축제이다. 와일드&로컬푸드에서는 추억과 향수, 일탈과 힐링을 한꺼번에 만날 수 있다."
2031318,임실N치즈축제,20150930234141,20250625163140,063-643-3900,임실N치즈축제제전위원회,"<a href=""http://www.imsilfestival.com"" target=""_blank"" title=""새창 : 임실N치즈축제 홈페이지로 이동"">http://www.imsilfestival.com</a>",http://tong.visitkorea.or.kr/cms/resource/54/3377054_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/54/3377054_image3_1.png,전북특별자치도 임실군 성수면 도인2길 50,(성수면),127.3012056927,35.6328486749,6,"*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>1967년 임실로 선교활동을 하러 오신 지정환 신부님께서 산양 두 마리를 시작으로, 마을 청년들과 함께 수많은 시행착오와 고생 끝에 대한민국 최초로 치즈를 만들어낸 것을 기념하고, 지역경제 활성화와 치즈산업 발전을 위하여 매년 10월 초 임실치즈테마파크에서 임실군민과 방문객들이 함께 즐기는 대한민국 대표 문화관광축제로 거듭 발전해 나가는 임실N치즈축제이다."
763974,장수한우랑사과랑축제,20090709201415,20250808173654,063-350-2356,사단법인 장수한우랑사과랑축제추진위원회,"<a href=""https://www.jangsufestival.com/index.php"" target=""_blank"" title=""새창 : 장수한우랑사과랑축제 홈페이지 이동"">https://www.jangsufestival.com/index.php</a>",http://tong.visitkorea.or.kr/cms/resource/91/3519591_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3519591_image3_1.jpg,전북특별자치도 장수군 장수읍 한누리로 378,,127.5190834126,35.6402571963,6,"*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다*<br><br>한우와 사과를 중심 테마로 2007년 제1회 축제를 시작으로 2025년 제19회에 이르는 등 그 역사가 깊은 유서깊은 대한민국 최초의 레드컬러축제이다 특히 2024년부터는 기존 한우와 사과의 농특산 단품에서 벗어나 장수 레드푸드(한우, 사과, 오미자, 토마토)로 그 품목을 확장했으며, 사과맥주, 사과소주, 사과빵, 오미자주 등 가공품의 영역으로 축제의 범위를 확장시켰으며 대한민국 최초의 레드컬러 축제에서 대한민국 최초의 레드푸드 축제로 그 영역을 넓혀 대한민국 대효 문화관광축제로 그 위상을 높이고 있다."
1945450,전주독서대전,20140901183440,20250812174034,063-230-1858,전주시,"<a href=""https://www.jjbook.kr/?mode=homepage"" target=""_blank"" title=""전주독서대전 홈페이지로 이동"">https://www.jjbook.kr/?mode=homepage</a>",http://tong.visitkorea.or.kr/cms/resource/72/3448272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3448272_image3_1.jpg,전북특별자치도 전주시 완산구 전주천동로 20 (교동),,127.1595996936,35.8123202733,6,"전주독서대전은 지역의 출판, 서점, 문화, 교육계 등 독서 생태계와 함께 강연, 공연, 전시, 체험, 북마켓 등 다채로운 프로그램들로 채워진 전주만의 특색을 갖춘 책 축제다."
2864606,제4회 호러 홀로그램 페스티벌,20221006161900,20250827175808,010-5149-8272,"과학기술정보통신부, 전북특별자치도, 익산시, 정보통신산업진흥원","<a href=""https://www.holofest.kr/"" target=""_blank"" title=""새창 : 호러 홀로그램 페스티벌 홈페이지로 이동"">https://www.holofest.kr</a>",http://tong.visitkorea.or.kr/cms/resource/35/3521135_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/3521135_image3_1.jpg,전북특별자치도 익산시 성당면 함낭로 207,,126.9316966194,36.0693453645,6,"<제4회 익산 호러 홀로그램 페스티벌>은 미스터리 연구소를 배경으로 한 몰입형 공포 체험 축제로 최신 홀로그램 기술과 방탈출, 연극적 요소를 창의적으로 결합하여 새로운 형태의 공포 콘텐츠를 선보이는 행사이다. 전북 홀로그램 산업의 실감 나는 홀로그램 기술을 활용하여 선보일 호러 홀로그램 메인 콘텐츠와 함께 남녀노소 모두가 즐길 수 있는 무대 이벤트와 코스프레 대회, 공포댄스, 플래쉬몹 등 다채로운 부대 프로그램과 풍성한 먹거리까지 즐길 수 있어 공포 마니아부터 일반 관람객까지 모두가 하나 되어 만족할 수 있는 차별화된 공포 엔터테인먼트 페스티벌이다."
1718060,진안홍삼축제,20120913203535,20250704103223,063-430-2393,진안군,"홈페이지:<a href=""https://www.jinan.go.kr/festival/"" target=""_blank"" title=""새창:진안홍삼축제 홈페이지로 이동"">www.jinan.go.kr</a>",http://tong.visitkorea.or.kr/cms/resource/84/3007184_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/84/3007184_image3_1.png,전북특별자치도 진안군 진안읍 마이산로 160,,127.4162612489,35.7730819880,6,"*하기 축제 내용은 전년도(2024년) 축제 내용으로, 2025년도 축제 내용은 업데이트 중에 있습니다.*<br><br>대한민국 유일의 홍삼특구인 진안 마이산 북부 일원에서는 매년 가을 홍삼축제가 열린다. 믿고 먹을 수 있는 질 좋은 홍삼과 홍삼으로 만든 다양한 음식들을 맛볼 수 있는 축제로 인기가 많다. 홍삼이 낯선 아이들을 홍삼관련 체험과, 진안홍삼킹덤을 지켜라!(스탬프투어) 등 재미있는 체험프로그램들이 준비되어 있다. 이밖에도 전통공연, 트로트 페스티벌 등 볼거리도 풍성하며 진안군수가 품질을 인증한 믿을 수 있는 고품질의 홍삼제품을 시중가보다 저렴하게 구매할 수 있다."
2547013,한옥마을전통연희 퍼레이드-노상놀이야,20180512010656,20250407114354,063-236-1577 / 010-4348-3130,전주시 / 전북특별자치도문화관광재단,"<a href=""https://www.hapgood.kr/17"" target=""_blank"" title=""새창: 한옥마을전통연희퍼레이드 사이트로 이동"">https://www.hapgood.kr/</a>",http://tong.visitkorea.or.kr/cms/resource/68/3485868_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3485868_image3_1.jpg,전북특별자치도 전주시 완산구 태조로 44 (풍남동3가),,127.1500366062,35.8142143363,6,"거리에서 만나는 뜻밖의 전주민속. 전주의 상징인 전주기접놀이의 화려한 용깃발 퍼포먼스와 풍물놀이가 한가득 넘치는 공연이다. 해학 넘치는 단편 마당놀이, 거대한 용깃발 전주기접놀이 퍼포먼스 풍물연희와 전통기예를 한껏 보고 즐겨 보세요. 그리고 현장에서 전주 구전 노동요인 '만두레 소리'를 함께 배워 보세요."
2544610,2025 경기전 왕과의 산책,20180426221921,20250702153427,063-232-9938,전주시,"<a href=""https://www.instagram.com/culture__art/?hl=ko"" target=""_blank"" title=""새창 : 경기전 왕과의 산책 인스타그램으로 이동"">https://www.instagram.com/</a>",http://tong.visitkorea.or.kr/cms/resource/10/3495210_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3495210_image3_1.jpg,전북특별자치도 전주시 완산구 태조로 44 (풍남동3가),,127.1500366062,35.8142143363,6,"◆ 2025 경기전 ""왕과의 산책"" - 탐방편 ◆
- 전주의 밤 풍경을 즐기며 경기전을 거닐 수 있는 기회
- 국가유산 속 역사적 사실을 일깨우는 새로운 방식의 역사해설
- 다양한 조선 캐릭터와 함께하는 사실감 있는 한편의 드라마"
2446505,2025 신관사또부임행차,20161206230328,20250401173125,063-633-5353,남원시관광협의회,,http://tong.visitkorea.or.kr/cms/resource/01/3484901_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/01/3484901_image3_1.png,전북특별자치도 남원시 요천로 1447 (천거동),,127.3799713796,35.4021539472,6,17년간 시민주도로 진행해온 신관사또부임행차 퍼레이드가 25. 4월부터 매주토요일 오후2시 광한루원 일원에서 펼쳐질 예정이다. 신관사또 부임행차 퍼레이드는 남원의 대표 문화자원인 광한루원을 배경으로 쓰여진 춘향전에서 변학도의 남원부임행차 부분을 현대적으로 각색한 퓨전공연물로 남원을 방문하는 관광객에게 다양한 볼거리와 재미를 선사하기 위해 기획되었다.
3525756,"2025 유네스코 인류무형유산 초청공연 <어둠에서 피어난 민중의 노래, 그리스 레베티코>",20250822155628,20250822155652,02-2039-0342,국가유산청 국립무형유산원,"<a href=""https://www.nihc.go.kr/"" target=""_blank"" title=""새창 : 유네스코 인류무형유산 초청공연 홈페이지로 이동"">https://www.nihc.go.kr/</a>",http://tong.visitkorea.or.kr/cms/resource/55/3525755_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/3525755_image3_1.jpg,전북특별자치도 전주시 완산구 서학로 95 (동서학동),,127.1596636399,35.8099038819,6,"유네스코 인류무형유산으로 등재된 ‘레베티코’. 8명의 그리스 레베티코 연주자들이 선사하는 특별한 무대가 오는 9월, 전주에서 펼쳐진다. 유네스코 인류무형유산 초청공연은 2014년부터 시작된 명품 공연사업으로, 전통과 격조를 갖춘 수준 높은 무대를 선보이고 있다. 레베티코는 사회 속 소외된 이들의 진솔한 삶을 노래하는 도시 대중 음악으로, 그리스의 고단한 역사 속에서 태어나 오늘날까지도 많은 이들의 공감을 이끌어내고 있는 음악이다. 이번 공연은 레베티코가 담고 있는 그리스의 역사와 정서를 한층 깊이 있게 접하며, 생생한 현지의 음악 문화를 경험할 수 있는 소중한 기회가 될 것이다."
3522298,2025 전주드론축구월드컵,20250818154533,20250822135819,063-281-8748,"국토교통부, 전북특별자치도, 전주시, 국제드론축구연맹","공식 홈페이지 <a href=""http://www.fidaworldcupjeonju.com/"" target=""_blank"" title=""새창 : 전주드론축구월드컵 홈페이지로 이동"">http://www.fidaworldcupjeonju.com/</a><BR>
공식 인스타그램 <a href=""https://www.instagram.com/fida_worldcup?igsh=NnBseTdsajA4NHY5"" target=""_blank"" title=""새창 : 전주드론축구월드컵 인스타그램 이동"">https://www.instagram.com/fida_worldcup?igsh=NnBseTdsajA4NHY5</a>",http://tong.visitkorea.or.kr/cms/resource/23/3525523_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/3525523_image3_1.jpg,전북특별자치도 전주시 덕진구 기린대로 1055 (반월동),,127.0670592641,35.8676429285,6,"2025 전주드론축구월드컵(FIDA World cup Jeonju 2025)는 2025년 9월 25일부터 28일까지 전주월드컵경기장 광장에서 개최되는 제1회 드론축구월드컵이다. 드론축구 개발 10주년을 맞이하는 올해, 전세계 드론축구 선수들이 전주에 모여 세계 최고의 드론축구 국가 자리를 놓고 격돌한다. 시범종목으로 크래싱 대회와 슈퍼파일럿 선발대회가 열리고, 국토교통부와 항공안전기술원이 주최.주관하는 드론산업 국제 심포지엄과 함께 문화예술공연, 드론 체험프로그램, 2025 Buy 전주 GOGO페스티벌, 국토교통부장관기 초중고 전국드론축구대회 등 다양한 행사가 진행된다."
3331805,NS푸드페스타,20240709140026,20250710154949,02-574-1753,"NS홈쇼핑, 익산시","<a href=""http://pr.nsmall.com/customer/foodfesta.do"" target=""_blank"" title=""새창 : NS푸드페스타 홈페이지 이동"">http://pr.nsmall.com</a>",http://tong.visitkorea.or.kr/cms/resource/38/3383938_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3383938_image3_1.jpg,전북특별자치도 익산시 함열읍 익산대로78길 137,하림 퍼스트키친,126.9615032843,36.0314029894,6,"최고의 맛을 먹고! 보고! 즐기는""NS푸드페스타""는 국내 농수축산업과 식품산업의 발전을 위해 지난2008년부터 이어져온 식품문화축제이다. 매년 익산 함열읍의 <하림 퍼스트키친>에서 열리는 이 행사는 총 상금 1억원 규모의 전국 요리경연, 식품 스타트업 경진대회, 쿠킹클래스 등 단순한 경연을 넘어 방문객이 직접 보고 즐기는 체험형 행사로 꾸며진다. 관람객이라면 누구나 하림 산업의 공장을 둘러볼 수 있는 미식투어, 프레쉬 마켓, 지역 상생마켓 등의 전시/체험 및 시식/판매 부스가 운영된다. 모든 방문객이 생생한 요리 현장을 가까이에서 관람하며 풍성한미식의 즐거움을 느낄 수 있다."
3009344,나주영산강축제,20230911173216,20250822131455,061-339-8594,나주시,"<a href=""https://www.naju.go.kr/tour/festival/river/2025"" target=""_blank"" title=""새창 : 나주영산강축제  홈페이지 이동"">https://www.naju.go.kr/tour/festival/river/2025</a>",http://tong.visitkorea.or.kr/cms/resource/19/3525419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3525419_image3_1.jpg,전라남도 나주시 영산동,757-1번지,126.7222868501,35.0013352379,6,"나주영산강축제는 영산강이 품은 나주의 찬란한 자연과 깊은 역사, 살아 숨 쉬는 문화가 하나로 어우러진 나주의 대표 문화예술 축제이다. 5일간 펼쳐지는 축제에서는 영산강의 생태·역사·문화를 한눈에 볼 수 있는  '영산강 주제관',  나주 역사 인물을 소재로 한 창작 뮤지컬 '왕후, 장화', '천연염색패션쇼', '마당극 나주삼색놀이' 등 다채로운 공연이 이어진다. 키즈 체험존,  보드게임, 싱어롱쇼 등 남녀노소 누구나 즐길 수 있는 체험 프로그램도 운영된다. 특히, 가을 코스모스가 만발한 영산강변을 거닐며 영산강을 걸어서 건너는 '영산강 횡단 보행교'는 오직 이곳, 나주영산강축제에서만 만날 수 있는 특별한 명소이다.  올해는 나주농업페스타, 전라남도 정원 페스티벌, MBN 전국 나주 마라톤대회도 함께 열려 축제의 즐거움을 더욱 풍성하게 하는 축제이다."
