contentid,sponsor1,sponsor1tel,sponsor2,eventenddate,playtime,eventplace,eventstartdate,usetimefestival,progresstype,festivaltype
2544610,전주시,063-232-9938,문화예술공작소,20251025,20:00~21:30,전주 경기전,20250614,"1인 1매 10,000원 (별도 할인 없음)",선택안함,선택안함
2446505,남원시관광협의회,063-633-5353,,20251025,14:00~16:30,남원관광지 및 광한루원 일원,20250412,무료,선택안함,선택안함
3525756,국가유산청 국립무형유산원,02-2039-0342,투케이엠컴퍼니,20250927,14:00~21:00,국립무형유산원 얼쑤마루 대·소공연장,20250926,무료,선택안함,선택안함
3522298,"국토교통부, 전북특별자치도, 전주시, 국제드론축구연맹",063-281-8748,2025 전주드론축구월드컵 조직위원회,20250928,09:00~21:00,전주월드컵경기장 광장,20250925,무료,선택안함,선택안함
3331805,"NS홈쇼핑, 익산시",02-574-1753,,20250927,10:00~17:00,,20250926,무료,선택안함,선택안함
3009344,나주시,061-339-8594,나주영산강축제추진위원회,20251012,10:00~21:00,영산강정원,20251008,무료,선택안함,선택안함
607417,"전라남도, 해남군, 진도군",061-802-2192,전라남도관광재단,20250921,11:00~21:00,,20250919,무료,선택안함,선택안함
574014,목포시,061-270-8441,목포시축제추진위원회,20250928,13:00~22:00,목포항&삼학도 일원,20250926,무료,선택안함,선택안함
3301415,무안군,061-450-5474,,20251116,09:00 ~ 22:00,남악중앙공원,20251114,무료(일부 프로그램 유료),,
1078905,영광불갑산상사화축제 추진위원회,061-350-5269,,20251005,08:00~22:00,,20250926,무료 입장,선택안함,선택안함
2987489,고흥군청,061-830-5902,,20251025,매주 토요일 21:00 (녹동항 바다정원)<br>매월 마지막주 금요일 21:00 (군청 앞 고흥군민광장),녹동항 일원,20250412,무료,선택안함,선택안함
3517340,"광주광역시, 전라남도",062-945-5670,"㈜에스알비무등일보, 엠디에이앤씨",20250921,11:00~18:00,담양종합체육관,20250919,무료,선택안함,선택안함
2774275,목포시,061-270-8431,,20251003,20:00~21:00,평화광장 해상무대,20250426,무료,선택안함,선택안함
2990881,"광주광역시, 광주광역시 동구",070-4400-6554,(재)광주광역시동구문화관광재단,20251019,11:00~22:00,5·18민주광장 등 광주 동구 일원,20251015,무료,선택안함,선택안함
692682,"광주광역시 동구, 광주동구문화관광재단, 충장축제위원회",062-608-4674,,20251019,14:00~22:00,"금남로, 충장로, 5.18민주광장, 예술의거리 일원",20251015,무료,선택안함,선택안함
604097,광주광역시김치축제위원회,062-613-3955~6,광주광역시,20251102,10:00~20:00,상무시민공원,20251031,입장 무료,선택안함,선택안함
3460731,,062-515-6560,,20251110,,,20251106,"티켓 5,000원(장애인 좌석 예약 별도 문의)",,
3304636,문화체육관광부,062-419-1272,"지역문화진흥원, ㈜상상오",20251231,공연별 상이,빛고을노인건강타운 및 전라/제주권역 일대,20250326,무료,선택안함,선택안함
2598791,"광주광역시 관광공사, (유)라온트리",062-611-2162,,20250831,18:00~22:00,,20250828,"유료 (17,900원, 주중/주말 동일)",선택안함,선택안함
